item,item_ine_id,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Pozoblanco,14054,AND0077,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/pozoblanco/?utm_campaign=cerca-v1,FALSE,
Priego,16170,AND0078,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/priego/?utm_campaign=cerca-v1,FALSE,
Puente Genil,14056,AND0079,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/puente-genil/?utm_campaign=cerca-v1,FALSE,
Rincón de La Victoria,29082,AND0080,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/axarquia/rincon-de-la-victoria/?utm_campaign=cerca-v1,FALSE,
Ronda,29084,AND0081,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/ronda/?utm_campaign=cerca-v1,FALSE,
Rute,14058,AND0082,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/rute/?utm_campaign=cerca-v1,FALSE,
S.S. de los Ballesteros,14059,AND0083,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/san-sebastian-ballesteros/?utm_campaign=cerca-v1,FALSE,
Santa Eufemia,14061,AND0084,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/santa-eufemia/?utm_campaign=cerca-v1,FALSE,
Santaella,14060,AND0085,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/santaella/?utm_campaign=cerca-v1,FALSE,
Serrania de Las Nieves,34_01_29_09,AND0086,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/serrania-nieves/?utm_campaign=cerca-v1,FALSE,
